Unnamed: 0,시간대구분,행정동코드,총생활인구수,시도명,시군구명,행정동명,년,월
157,9,11170570,470,서울,용산구,원효로2동,2018,1
175,10,11170590,501,서울,용산구,용문동,2018,1
191,11,11170590,648,서울,용산구,용문동,2018,1
213,12,11170570,448,서울,용산구,원효로2동,2018,1
214,12,11170590,447,서울,용산구,용문동,2018,1
351,18,11170590,431,서울,용산구,용문동,2018,1
374,19,11170510,666,서울,용산구,후암동,2018,1
426,22,11170555,545,서울,용산구,청파동,2018,1
448,23,11170625,1003,서울,용산구,한강로동,2018,1
476,0,11170640,415,서울,용산구,이촌2동,2018,1
494,1,11170685,578,서울,용산구,한남동,2018,1
813,17,11170700,373,서울,용산구,보광동,2018,1
1183,11,11170520,455,서울,용산구,용산2가동,2018,1
1561,5,11170640,433,서울,용산구,이촌2동,2018,1
1772,16,11170580,744,서울,용산구,효창동,2018,1
1798,17,11170640,450,서울,용산구,이촌2동,2018,1
1825,18,11170640,508,서울,용산구,이촌2동,2018,1
1847,19,11170685,699,서울,용산구,한남동,2018,1
1980,1,11170640,528,서울,용산구,이촌2동,2018,1
2022,3,11170580,534,서울,용산구,효창동,2018,1
2114,8,11170580,546,서울,용산구,효창동,2018,1
2196,12,11170685,676,서울,용산구,한남동,2018,1
2235,14,11170690,637,서울,용산구,서빙고동,2018,1
2362,20,11170640,513,서울,용산구,이촌2동,2018,1
2378,21,11170640,502,서울,용산구,이촌2동,2018,1
2396,22,11170685,599,서울,용산구,한남동,2018,1
2624,10,11170580,539,서울,용산구,효창동,2018,1
2685,13,11170685,779,서울,용산구,한남동,2018,1
2715,15,11170685,758,서울,용산구,한남동,2018,1
2734,16,11170685,748,서울,용산구,한남동,2018,1
2997,4,11170580,616,서울,용산구,효창동,2018,1
3290,19,11170640,478,서울,용산구,이촌2동,2018,1
3612,10,11170685,560,서울,용산구,한남동,2018,1
3850,22,11170640,494,서울,용산구,이촌2동,2018,1
3977,4,11170685,1122,서울,용산구,한남동,2018,1
4503,9,11170630,479,서울,용산구,이촌1동,2018,1
4792,0,11170630,1025,서울,용산구,이촌1동,2018,1
4836,2,11170630,758,서울,용산구,이촌1동,2018,1
5004,11,11170630,503,서울,용산구,이촌1동,2018,1
5033,12,11170630,509,서울,용산구,이촌1동,2018,1
5054,13,11170630,464,서울,용산구,이촌1동,2018,1
5162,19,11170580,509,서울,용산구,효창동,2018,1
5309,1,11170630,476,서울,용산구,이촌1동,2018,1
5378,4,11170630,490,서울,용산구,이촌1동,2018,1
5420,6,11170630,494,서울,용산구,이촌1동,2018,1
5437,7,11170630,926,서울,용산구,이촌1동,2018,1
6139,17,11170630,489,서울,용산구,이촌1동,2018,1
6164,18,11170510,715,서울,용산구,후암동,2018,1
6165,18,11170630,563,서울,용산구,이촌1동,2018,1
6166,18,11170650,1043,서울,용산구,이태원1동,2018,1
6186,19,11170630,1499,서울,용산구,이촌1동,2018,1
6187,19,11170650,1043,서울,용산구,이태원1동,2018,1
6372,4,11170700,426,서울,용산구,보광동,2018,1
6413,6,11170700,395,서울,용산구,보광동,2018,1
6427,7,11170700,525,서울,용산구,보광동,2018,1
6686,20,11170630,494,서울,용산구,이촌1동,2018,1
6713,21,11170630,415,서울,용산구,이촌1동,2018,1
6757,23,11170630,491,서울,용산구,이촌1동,2018,1
7035,13,11170650,1051,서울,용산구,이태원1동,2018,1
7233,22,11170630,653,서울,용산구,이촌1동,2018,1
7295,1,11170700,531,서울,용산구,보광동,2018,1
7407,7,11170650,963,서울,용산구,이태원1동,2018,1
8085,18,11170530,1034,서울,용산구,남영동,2018,1
8108,19,11170555,612,서울,용산구,청파동,2018,1
9029,22,11170700,444,서울,용산구,보광동,2018,1
9191,7,11170555,470,서울,용산구,청파동,2018,1
9353,16,11170700,525,서울,용산구,보광동,2018,1
9679,10,11170520,528,서울,용산구,용산2가동,2018,1
9956,1,11170555,543,서울,용산구,청파동,2018,1
10010,4,11170520,425,서울,용산구,용산2가동,2018,1
10603,12,11170690,695,서울,용산구,서빙고동,2018,1
10623,13,11170690,588,서울,용산구,서빙고동,2018,1
10966,6,11170690,617,서울,용산구,서빙고동,2018,1
10989,7,11170690,613,서울,용산구,서빙고동,2018,1
11416,5,11170660,559,서울,용산구,이태원2동,2018,1
12218,2,11170510,504,서울,용산구,후암동,2018,1
