시간대구분,행정동코드,총생활인구수,시도명,시군구명,행정동명,년,월
0,11170510,407,서울,용산구,후암동,2019,9
0,11170520,448,서울,용산구,용산2가동,2019,9
0,11170530,938,서울,용산구,남영동,2019,9
0,11170555,558,서울,용산구,청파동,2019,9
0,11170560,743,서울,용산구,원효로1동,2019,9
0,11170570,465,서울,용산구,원효로2동,2019,9
0,11170580,456,서울,용산구,효창동,2019,9
0,11170590,483,서울,용산구,용문동,2019,9
0,11170625,971,서울,용산구,한강로동,2019,9
0,11170630,529,서울,용산구,이촌1동,2019,9
0,11170640,371,서울,용산구,이촌2동,2019,9
0,11170650,1708,서울,용산구,이태원1동,2019,9
0,11170660,722,서울,용산구,이태원2동,2019,9
0,11170685,815,서울,용산구,한남동,2019,9
0,11170690,594,서울,용산구,서빙고동,2019,9
0,11170700,472,서울,용산구,보광동,2019,9
1,11170510,412,서울,용산구,후암동,2019,9
1,11170520,446,서울,용산구,용산2가동,2019,9
1,11170530,918,서울,용산구,남영동,2019,9
1,11170555,560,서울,용산구,청파동,2019,9
1,11170560,742,서울,용산구,원효로1동,2019,9
1,11170570,463,서울,용산구,원효로2동,2019,9
1,11170580,459,서울,용산구,효창동,2019,9
1,11170590,487,서울,용산구,용문동,2019,9
1,11170625,954,서울,용산구,한강로동,2019,9
1,11170630,528,서울,용산구,이촌1동,2019,9
1,11170640,368,서울,용산구,이촌2동,2019,9
1,11170650,1642,서울,용산구,이태원1동,2019,9
1,11170660,721,서울,용산구,이태원2동,2019,9
1,11170685,817,서울,용산구,한남동,2019,9
1,11170690,586,서울,용산구,서빙고동,2019,9
1,11170700,475,서울,용산구,보광동,2019,9
2,11170510,415,서울,용산구,후암동,2019,9
2,11170520,446,서울,용산구,용산2가동,2019,9
2,11170530,897,서울,용산구,남영동,2019,9
2,11170555,564,서울,용산구,청파동,2019,9
2,11170560,743,서울,용산구,원효로1동,2019,9
2,11170570,465,서울,용산구,원효로2동,2019,9
2,11170580,458,서울,용산구,효창동,2019,9
2,11170590,489,서울,용산구,용문동,2019,9
2,11170625,946,서울,용산구,한강로동,2019,9
2,11170630,529,서울,용산구,이촌1동,2019,9
2,11170640,363,서울,용산구,이촌2동,2019,9
2,11170650,1565,서울,용산구,이태원1동,2019,9
2,11170660,714,서울,용산구,이태원2동,2019,9
2,11170685,811,서울,용산구,한남동,2019,9
2,11170690,596,서울,용산구,서빙고동,2019,9
2,11170700,492,서울,용산구,보광동,2019,9
3,11170510,418,서울,용산구,후암동,2019,9
3,11170520,446,서울,용산구,용산2가동,2019,9
3,11170530,907,서울,용산구,남영동,2019,9
3,11170555,565,서울,용산구,청파동,2019,9
3,11170560,748,서울,용산구,원효로1동,2019,9
3,11170570,466,서울,용산구,원효로2동,2019,9
3,11170580,460,서울,용산구,효창동,2019,9
3,11170590,489,서울,용산구,용문동,2019,9
3,11170625,944,서울,용산구,한강로동,2019,9
3,11170630,529,서울,용산구,이촌1동,2019,9
3,11170640,365,서울,용산구,이촌2동,2019,9
3,11170650,1448,서울,용산구,이태원1동,2019,9
3,11170660,717,서울,용산구,이태원2동,2019,9
3,11170685,794,서울,용산구,한남동,2019,9
3,11170690,593,서울,용산구,서빙고동,2019,9
3,11170700,493,서울,용산구,보광동,2019,9
4,11170510,418,서울,용산구,후암동,2019,9
4,11170520,447,서울,용산구,용산2가동,2019,9
4,11170530,947,서울,용산구,남영동,2019,9
4,11170555,568,서울,용산구,청파동,2019,9
4,11170560,746,서울,용산구,원효로1동,2019,9
4,11170570,467,서울,용산구,원효로2동,2019,9
4,11170580,460,서울,용산구,효창동,2019,9
4,11170590,490,서울,용산구,용문동,2019,9
4,11170625,959,서울,용산구,한강로동,2019,9
4,11170630,531,서울,용산구,이촌1동,2019,9
4,11170640,367,서울,용산구,이촌2동,2019,9
4,11170650,1314,서울,용산구,이태원1동,2019,9
4,11170660,719,서울,용산구,이태원2동,2019,9
4,11170685,785,서울,용산구,한남동,2019,9
4,11170690,606,서울,용산구,서빙고동,2019,9
4,11170700,494,서울,용산구,보광동,2019,9
5,11170510,415,서울,용산구,후암동,2019,9
5,11170520,446,서울,용산구,용산2가동,2019,9
5,11170530,974,서울,용산구,남영동,2019,9
5,11170555,563,서울,용산구,청파동,2019,9
5,11170560,754,서울,용산구,원효로1동,2019,9
5,11170570,465,서울,용산구,원효로2동,2019,9
5,11170580,465,서울,용산구,효창동,2019,9
5,11170590,486,서울,용산구,용문동,2019,9
5,11170625,990,서울,용산구,한강로동,2019,9
5,11170630,548,서울,용산구,이촌1동,2019,9
5,11170640,386,서울,용산구,이촌2동,2019,9
5,11170650,1218,서울,용산구,이태원1동,2019,9
5,11170660,711,서울,용산구,이태원2동,2019,9
5,11170685,784,서울,용산구,한남동,2019,9
5,11170690,633,서울,용산구,서빙고동,2019,9
5,11170700,487,서울,용산구,보광동,2019,9
