시간대구분,행정동코드,총생활인구수,시도명,시군구명,행정동명,년,월
0,11170510,458,서울,용산구,후암동,2020,1
0,11170520,518,서울,용산구,용산2가동,2020,1
0,11170530,863,서울,용산구,남영동,2020,1
0,11170555,607,서울,용산구,청파동,2020,1
0,11170560,713,서울,용산구,원효로1동,2020,1
0,11170570,469,서울,용산구,원효로2동,2020,1
0,11170580,475,서울,용산구,효창동,2020,1
0,11170590,501,서울,용산구,용문동,2020,1
0,11170625,976,서울,용산구,한강로동,2020,1
0,11170630,551,서울,용산구,이촌1동,2020,1
0,11170640,440,서울,용산구,이촌2동,2020,1
0,11170650,1651,서울,용산구,이태원1동,2020,1
0,11170660,783,서울,용산구,이태원2동,2020,1
0,11170685,892,서울,용산구,한남동,2020,1
0,11170690,581,서울,용산구,서빙고동,2020,1
0,11170700,460,서울,용산구,보광동,2020,1
1,11170510,459,서울,용산구,후암동,2020,1
1,11170520,508,서울,용산구,용산2가동,2020,1
1,11170530,758,서울,용산구,남영동,2020,1
1,11170555,591,서울,용산구,청파동,2020,1
1,11170560,712,서울,용산구,원효로1동,2020,1
1,11170570,471,서울,용산구,원효로2동,2020,1
1,11170580,488,서울,용산구,효창동,2020,1
1,11170590,509,서울,용산구,용문동,2020,1
1,11170625,928,서울,용산구,한강로동,2020,1
1,11170630,530,서울,용산구,이촌1동,2020,1
1,11170640,439,서울,용산구,이촌2동,2020,1
1,11170650,1625,서울,용산구,이태원1동,2020,1
1,11170660,770,서울,용산구,이태원2동,2020,1
1,11170685,878,서울,용산구,한남동,2020,1
1,11170690,573,서울,용산구,서빙고동,2020,1
1,11170700,464,서울,용산구,보광동,2020,1
2,11170510,461,서울,용산구,후암동,2020,1
2,11170520,504,서울,용산구,용산2가동,2020,1
2,11170530,742,서울,용산구,남영동,2020,1
2,11170555,585,서울,용산구,청파동,2020,1
2,11170560,713,서울,용산구,원효로1동,2020,1
2,11170570,469,서울,용산구,원효로2동,2020,1
2,11170580,494,서울,용산구,효창동,2020,1
2,11170590,507,서울,용산구,용문동,2020,1
2,11170625,909,서울,용산구,한강로동,2020,1
2,11170630,530,서울,용산구,이촌1동,2020,1
2,11170640,431,서울,용산구,이촌2동,2020,1
2,11170650,1556,서울,용산구,이태원1동,2020,1
2,11170660,765,서울,용산구,이태원2동,2020,1
2,11170685,867,서울,용산구,한남동,2020,1
2,11170690,571,서울,용산구,서빙고동,2020,1
2,11170700,463,서울,용산구,보광동,2020,1
3,11170510,464,서울,용산구,후암동,2020,1
3,11170520,504,서울,용산구,용산2가동,2020,1
3,11170530,728,서울,용산구,남영동,2020,1
3,11170555,588,서울,용산구,청파동,2020,1
3,11170560,714,서울,용산구,원효로1동,2020,1
3,11170570,471,서울,용산구,원효로2동,2020,1
3,11170580,497,서울,용산구,효창동,2020,1
3,11170590,506,서울,용산구,용문동,2020,1
3,11170625,901,서울,용산구,한강로동,2020,1
3,11170630,529,서울,용산구,이촌1동,2020,1
3,11170640,431,서울,용산구,이촌2동,2020,1
3,11170650,1454,서울,용산구,이태원1동,2020,1
3,11170660,761,서울,용산구,이태원2동,2020,1
3,11170685,854,서울,용산구,한남동,2020,1
3,11170690,569,서울,용산구,서빙고동,2020,1
3,11170700,466,서울,용산구,보광동,2020,1
4,11170510,464,서울,용산구,후암동,2020,1
4,11170520,508,서울,용산구,용산2가동,2020,1
4,11170530,751,서울,용산구,남영동,2020,1
4,11170555,589,서울,용산구,청파동,2020,1
4,11170560,717,서울,용산구,원효로1동,2020,1
4,11170570,469,서울,용산구,원효로2동,2020,1
4,11170580,501,서울,용산구,효창동,2020,1
4,11170590,504,서울,용산구,용문동,2020,1
4,11170625,930,서울,용산구,한강로동,2020,1
4,11170630,531,서울,용산구,이촌1동,2020,1
4,11170640,430,서울,용산구,이촌2동,2020,1
4,11170650,1336,서울,용산구,이태원1동,2020,1
4,11170660,760,서울,용산구,이태원2동,2020,1
4,11170685,842,서울,용산구,한남동,2020,1
4,11170690,572,서울,용산구,서빙고동,2020,1
4,11170700,469,서울,용산구,보광동,2020,1
5,11170510,465,서울,용산구,후암동,2020,1
5,11170520,512,서울,용산구,용산2가동,2020,1
5,11170530,780,서울,용산구,남영동,2020,1
5,11170555,591,서울,용산구,청파동,2020,1
5,11170560,724,서울,용산구,원효로1동,2020,1
5,11170570,469,서울,용산구,원효로2동,2020,1
5,11170580,509,서울,용산구,효창동,2020,1
5,11170590,497,서울,용산구,용문동,2020,1
5,11170625,950,서울,용산구,한강로동,2020,1
5,11170630,540,서울,용산구,이촌1동,2020,1
5,11170640,434,서울,용산구,이촌2동,2020,1
5,11170650,1215,서울,용산구,이태원1동,2020,1
5,11170660,758,서울,용산구,이태원2동,2020,1
5,11170685,841,서울,용산구,한남동,2020,1
5,11170690,591,서울,용산구,서빙고동,2020,1
5,11170700,463,서울,용산구,보광동,2020,1
6,11170510,464,서울,용산구,후암동,2020,1
6,11170520,523,서울,용산구,용산2가동,2020,1
6,11170530,843,서울,용산구,남영동,2020,1
6,11170555,596,서울,용산구,청파동,2020,1
6,11170560,732,서울,용산구,원효로1동,2020,1
6,11170570,468,서울,용산구,원효로2동,2020,1
6,11170580,522,서울,용산구,효창동,2020,1
6,11170590,487,서울,용산구,용문동,2020,1
6,11170625,1034,서울,용산구,한강로동,2020,1
6,11170630,547,서울,용산구,이촌1동,2020,1
6,11170640,443,서울,용산구,이촌2동,2020,1
6,11170650,1041,서울,용산구,이태원1동,2020,1
6,11170660,765,서울,용산구,이태원2동,2020,1
6,11170685,858,서울,용산구,한남동,2020,1
6,11170690,624,서울,용산구,서빙고동,2020,1
6,11170700,454,서울,용산구,보광동,2020,1
7,11170510,445,서울,용산구,후암동,2020,1
7,11170520,571,서울,용산구,용산2가동,2020,1
7,11170530,1046,서울,용산구,남영동,2020,1
7,11170555,606,서울,용산구,청파동,2020,1
7,11170560,756,서울,용산구,원효로1동,2020,1
7,11170570,459,서울,용산구,원효로2동,2020,1
7,11170580,536,서울,용산구,효창동,2020,1
7,11170590,450,서울,용산구,용문동,2020,1
7,11170625,1219,서울,용산구,한강로동,2020,1
7,11170630,563,서울,용산구,이촌1동,2020,1
7,11170640,459,서울,용산구,이촌2동,2020,1
7,11170650,978,서울,용산구,이태원1동,2020,1
7,11170660,753,서울,용산구,이태원2동,2020,1
7,11170685,916,서울,용산구,한남동,2020,1
7,11170690,677,서울,용산구,서빙고동,2020,1
7,11170700,432,서울,용산구,보광동,2020,1
8,11170510,433,서울,용산구,후암동,2020,1
8,11170520,514,서울,용산구,용산2가동,2020,1
8,11170530,1322,서울,용산구,남영동,2020,1
8,11170555,617,서울,용산구,청파동,2020,1
8,11170560,805,서울,용산구,원효로1동,2020,1
8,11170570,461,서울,용산구,원효로2동,2020,1
8,11170580,549,서울,용산구,효창동,2020,1
8,11170590,407,서울,용산구,용문동,2020,1
8,11170625,1487,서울,용산구,한강로동,2020,1
8,11170630,541,서울,용산구,이촌1동,2020,1
8,11170640,404,서울,용산구,이촌2동,2020,1
8,11170650,971,서울,용산구,이태원1동,2020,1
8,11170660,687,서울,용산구,이태원2동,2020,1
8,11170685,957,서울,용산구,한남동,2020,1
8,11170690,713,서울,용산구,서빙고동,2020,1
8,11170700,406,서울,용산구,보광동,2020,1
9,11170510,418,서울,용산구,후암동,2020,1
9,11170520,492,서울,용산구,용산2가동,2020,1
9,11170530,1442,서울,용산구,남영동,2020,1
9,11170555,621,서울,용산구,청파동,2020,1
9,11170560,829,서울,용산구,원효로1동,2020,1
9,11170570,463,서울,용산구,원효로2동,2020,1
9,11170580,543,서울,용산구,효창동,2020,1
9,11170590,382,서울,용산구,용문동,2020,1
9,11170625,1671,서울,용산구,한강로동,2020,1
9,11170630,524,서울,용산구,이촌1동,2020,1
9,11170640,381,서울,용산구,이촌2동,2020,1
9,11170650,975,서울,용산구,이태원1동,2020,1
9,11170660,655,서울,용산구,이태원2동,2020,1
9,11170685,993,서울,용산구,한남동,2020,1
9,11170690,725,서울,용산구,서빙고동,2020,1
9,11170700,384,서울,용산구,보광동,2020,1
10,11170510,407,서울,용산구,후암동,2020,1
10,11170520,492,서울,용산구,용산2가동,2020,1
10,11170530,1471,서울,용산구,남영동,2020,1
10,11170555,622,서울,용산구,청파동,2020,1
10,11170560,829,서울,용산구,원효로1동,2020,1
10,11170570,458,서울,용산구,원효로2동,2020,1
10,11170580,528,서울,용산구,효창동,2020,1
10,11170590,366,서울,용산구,용문동,2020,1
10,11170625,1787,서울,용산구,한강로동,2020,1
10,11170630,516,서울,용산구,이촌1동,2020,1
10,11170640,358,서울,용산구,이촌2동,2020,1
10,11170650,990,서울,용산구,이태원1동,2020,1
10,11170660,637,서울,용산구,이태원2동,2020,1
10,11170685,1040,서울,용산구,한남동,2020,1
10,11170690,751,서울,용산구,서빙고동,2020,1
10,11170700,375,서울,용산구,보광동,2020,1
11,11170510,401,서울,용산구,후암동,2020,1
11,11170520,488,서울,용산구,용산2가동,2020,1
11,11170530,1576,서울,용산구,남영동,2020,1
11,11170555,616,서울,용산구,청파동,2020,1
11,11170560,831,서울,용산구,원효로1동,2020,1
11,11170570,445,서울,용산구,원효로2동,2020,1
11,11170580,511,서울,용산구,효창동,2020,1
11,11170590,368,서울,용산구,용문동,2020,1
11,11170625,1931,서울,용산구,한강로동,2020,1
11,11170630,495,서울,용산구,이촌1동,2020,1
11,11170640,346,서울,용산구,이촌2동,2020,1
11,11170650,1014,서울,용산구,이태원1동,2020,1
11,11170660,631,서울,용산구,이태원2동,2020,1
11,11170685,1061,서울,용산구,한남동,2020,1
11,11170690,746,서울,용산구,서빙고동,2020,1
11,11170700,369,서울,용산구,보광동,2020,1
12,11170510,393,서울,용산구,후암동,2020,1
12,11170520,495,서울,용산구,용산2가동,2020,1
12,11170530,1646,서울,용산구,남영동,2020,1
12,11170555,626,서울,용산구,청파동,2020,1
12,11170560,833,서울,용산구,원효로1동,2020,1
12,11170570,446,서울,용산구,원효로2동,2020,1
12,11170580,506,서울,용산구,효창동,2020,1
12,11170590,362,서울,용산구,용문동,2020,1
12,11170625,1989,서울,용산구,한강로동,2020,1
12,11170630,489,서울,용산구,이촌1동,2020,1
12,11170640,338,서울,용산구,이촌2동,2020,1
12,11170650,1053,서울,용산구,이태원1동,2020,1
12,11170660,626,서울,용산구,이태원2동,2020,1
12,11170685,1078,서울,용산구,한남동,2020,1
12,11170690,726,서울,용산구,서빙고동,2020,1
12,11170700,364,서울,용산구,보광동,2020,1
13,11170510,386,서울,용산구,후암동,2020,1
13,11170520,502,서울,용산구,용산2가동,2020,1
13,11170530,1596,서울,용산구,남영동,2020,1
13,11170555,627,서울,용산구,청파동,2020,1
13,11170560,806,서울,용산구,원효로1동,2020,1
13,11170570,442,서울,용산구,원효로2동,2020,1
13,11170580,533,서울,용산구,효창동,2020,1
13,11170590,352,서울,용산구,용문동,2020,1
13,11170625,2089,서울,용산구,한강로동,2020,1
13,11170630,473,서울,용산구,이촌1동,2020,1
13,11170640,341,서울,용산구,이촌2동,2020,1
13,11170650,1073,서울,용산구,이태원1동,2020,1
13,11170660,618,서울,용산구,이태원2동,2020,1
13,11170685,1101,서울,용산구,한남동,2020,1
13,11170690,676,서울,용산구,서빙고동,2020,1
13,11170700,351,서울,용산구,보광동,2020,1
14,11170510,390,서울,용산구,후암동,2020,1
14,11170520,501,서울,용산구,용산2가동,2020,1
14,11170530,1588,서울,용산구,남영동,2020,1
14,11170555,619,서울,용산구,청파동,2020,1
14,11170560,802,서울,용산구,원효로1동,2020,1
14,11170570,438,서울,용산구,원효로2동,2020,1
14,11170580,535,서울,용산구,효창동,2020,1
14,11170590,356,서울,용산구,용문동,2020,1
14,11170625,2147,서울,용산구,한강로동,2020,1
14,11170630,478,서울,용산구,이촌1동,2020,1
14,11170640,360,서울,용산구,이촌2동,2020,1
14,11170650,1077,서울,용산구,이태원1동,2020,1
14,11170660,621,서울,용산구,이태원2동,2020,1
14,11170685,1116,서울,용산구,한남동,2020,1
14,11170690,681,서울,용산구,서빙고동,2020,1
14,11170700,357,서울,용산구,보광동,2020,1
15,11170510,383,서울,용산구,후암동,2020,1
15,11170520,500,서울,용산구,용산2가동,2020,1
15,11170530,1640,서울,용산구,남영동,2020,1
15,11170555,629,서울,용산구,청파동,2020,1
15,11170560,816,서울,용산구,원효로1동,2020,1
15,11170570,441,서울,용산구,원효로2동,2020,1
15,11170580,543,서울,용산구,효창동,2020,1
15,11170590,362,서울,용산구,용문동,2020,1
15,11170625,2201,서울,용산구,한강로동,2020,1
15,11170630,480,서울,용산구,이촌1동,2020,1
15,11170640,360,서울,용산구,이촌2동,2020,1
15,11170650,1074,서울,용산구,이태원1동,2020,1
15,11170660,618,서울,용산구,이태원2동,2020,1
15,11170685,1107,서울,용산구,한남동,2020,1
15,11170690,694,서울,용산구,서빙고동,2020,1
15,11170700,365,서울,용산구,보광동,2020,1
16,11170510,382,서울,용산구,후암동,2020,1
16,11170520,502,서울,용산구,용산2가동,2020,1
16,11170530,1646,서울,용산구,남영동,2020,1
16,11170555,613,서울,용산구,청파동,2020,1
16,11170560,802,서울,용산구,원효로1동,2020,1
16,11170570,433,서울,용산구,원효로2동,2020,1
16,11170580,549,서울,용산구,효창동,2020,1
16,11170590,370,서울,용산구,용문동,2020,1
16,11170625,2145,서울,용산구,한강로동,2020,1
16,11170630,487,서울,용산구,이촌1동,2020,1
16,11170640,378,서울,용산구,이촌2동,2020,1
16,11170650,1098,서울,용산구,이태원1동,2020,1
16,11170660,610,서울,용산구,이태원2동,2020,1
16,11170685,1090,서울,용산구,한남동,2020,1
16,11170690,694,서울,용산구,서빙고동,2020,1
16,11170700,360,서울,용산구,보광동,2020,1
17,11170510,377,서울,용산구,후암동,2020,1
17,11170520,513,서울,용산구,용산2가동,2020,1
17,11170530,1640,서울,용산구,남영동,2020,1
17,11170555,604,서울,용산구,청파동,2020,1
17,11170560,792,서울,용산구,원효로1동,2020,1
17,11170570,420,서울,용산구,원효로2동,2020,1
17,11170580,532,서울,용산구,효창동,2020,1
17,11170590,364,서울,용산구,용문동,2020,1
17,11170625,2055,서울,용산구,한강로동,2020,1
17,11170630,501,서울,용산구,이촌1동,2020,1
17,11170640,384,서울,용산구,이촌2동,2020,1
17,11170650,1152,서울,용산구,이태원1동,2020,1
17,11170660,618,서울,용산구,이태원2동,2020,1
17,11170685,1051,서울,용산구,한남동,2020,1
17,11170690,686,서울,용산구,서빙고동,2020,1
17,11170700,355,서울,용산구,보광동,2020,1
18,11170510,376,서울,용산구,후암동,2020,1
18,11170520,518,서울,용산구,용산2가동,2020,1
18,11170530,1512,서울,용산구,남영동,2020,1
18,11170555,614,서울,용산구,청파동,2020,1
18,11170560,773,서울,용산구,원효로1동,2020,1
18,11170570,411,서울,용산구,원효로2동,2020,1
18,11170580,537,서울,용산구,효창동,2020,1
18,11170590,382,서울,용산구,용문동,2020,1
18,11170625,1950,서울,용산구,한강로동,2020,1
18,11170630,524,서울,용산구,이촌1동,2020,1
18,11170640,408,서울,용산구,이촌2동,2020,1
18,11170650,1223,서울,용산구,이태원1동,2020,1
18,11170660,643,서울,용산구,이태원2동,2020,1
18,11170685,1039,서울,용산구,한남동,2020,1
18,11170690,699,서울,용산구,서빙고동,2020,1
18,11170700,367,서울,용산구,보광동,2020,1
19,11170510,382,서울,용산구,후암동,2020,1
19,11170520,530,서울,용산구,용산2가동,2020,1
19,11170530,1333,서울,용산구,남영동,2020,1
19,11170555,619,서울,용산구,청파동,2020,1
19,11170560,745,서울,용산구,원효로1동,2020,1
19,11170570,414,서울,용산구,원효로2동,2020,1
19,11170580,544,서울,용산구,효창동,2020,1
19,11170590,401,서울,용산구,용문동,2020,1
19,11170625,1753,서울,용산구,한강로동,2020,1
19,11170630,505,서울,용산구,이촌1동,2020,1
19,11170640,389,서울,용산구,이촌2동,2020,1
19,11170650,1289,서울,용산구,이태원1동,2020,1
19,11170660,665,서울,용산구,이태원2동,2020,1
19,11170685,1020,서울,용산구,한남동,2020,1
19,11170690,652,서울,용산구,서빙고동,2020,1
19,11170700,373,서울,용산구,보광동,2020,1
20,11170510,392,서울,용산구,후암동,2020,1
20,11170520,529,서울,용산구,용산2가동,2020,1
20,11170530,1204,서울,용산구,남영동,2020,1
20,11170555,623,서울,용산구,청파동,2020,1
20,11170560,739,서울,용산구,원효로1동,2020,1
20,11170570,416,서울,용산구,원효로2동,2020,1
20,11170580,556,서울,용산구,효창동,2020,1
20,11170590,412,서울,용산구,용문동,2020,1
20,11170625,1554,서울,용산구,한강로동,2020,1
20,11170630,503,서울,용산구,이촌1동,2020,1
20,11170640,403,서울,용산구,이촌2동,2020,1
20,11170650,1322,서울,용산구,이태원1동,2020,1
20,11170660,681,서울,용산구,이태원2동,2020,1
20,11170685,996,서울,용산구,한남동,2020,1
20,11170690,661,서울,용산구,서빙고동,2020,1
20,11170700,383,서울,용산구,보광동,2020,1
21,11170510,401,서울,용산구,후암동,2020,1
21,11170520,525,서울,용산구,용산2가동,2020,1
21,11170530,1067,서울,용산구,남영동,2020,1
21,11170555,608,서울,용산구,청파동,2020,1
21,11170560,738,서울,용산구,원효로1동,2020,1
21,11170570,420,서울,용산구,원효로2동,2020,1
21,11170580,563,서울,용산구,효창동,2020,1
21,11170590,425,서울,용산구,용문동,2020,1
21,11170625,1379,서울,용산구,한강로동,2020,1
21,11170630,519,서울,용산구,이촌1동,2020,1
21,11170640,408,서울,용산구,이촌2동,2020,1
21,11170650,1332,서울,용산구,이태원1동,2020,1
21,11170660,672,서울,용산구,이태원2동,2020,1
21,11170685,968,서울,용산구,한남동,2020,1
21,11170690,654,서울,용산구,서빙고동,2020,1
21,11170700,393,서울,용산구,보광동,2020,1
22,11170510,413,서울,용산구,후암동,2020,1
22,11170520,527,서울,용산구,용산2가동,2020,1
22,11170530,964,서울,용산구,남영동,2020,1
22,11170555,607,서울,용산구,청파동,2020,1
22,11170560,743,서울,용산구,원효로1동,2020,1
22,11170570,432,서울,용산구,원효로2동,2020,1
22,11170580,571,서울,용산구,효창동,2020,1
22,11170590,445,서울,용산구,용문동,2020,1
22,11170625,1225,서울,용산구,한강로동,2020,1
22,11170630,523,서울,용산구,이촌1동,2020,1
22,11170640,432,서울,용산구,이촌2동,2020,1
22,11170650,1299,서울,용산구,이태원1동,2020,1
22,11170660,682,서울,용산구,이태원2동,2020,1
22,11170685,924,서울,용산구,한남동,2020,1
22,11170690,653,서울,용산구,서빙고동,2020,1
22,11170700,410,서울,용산구,보광동,2020,1
23,11170510,465,서울,용산구,후암동,2020,1
23,11170520,515,서울,용산구,용산2가동,2020,1
23,11170530,799,서울,용산구,남영동,2020,1
23,11170555,594,서울,용산구,청파동,2020,1
23,11170560,734,서울,용산구,원효로1동,2020,1
23,11170570,472,서울,용산구,원효로2동,2020,1
23,11170580,487,서울,용산구,효창동,2020,1
23,11170590,502,서울,용산구,용문동,2020,1
23,11170625,959,서울,용산구,한강로동,2020,1
23,11170630,542,서울,용산구,이촌1동,2020,1
23,11170640,424,서울,용산구,이촌2동,2020,1
23,11170650,1178,서울,용산구,이태원1동,2020,1
23,11170660,741,서울,용산구,이태원2동,2020,1
23,11170685,836,서울,용산구,한남동,2020,1
23,11170690,576,서울,용산구,서빙고동,2020,1
23,11170700,453,서울,용산구,보광동,2020,1
0,11170510,463,서울,용산구,후암동,2020,2
0,11170520,513,서울,용산구,용산2가동,2020,2
0,11170530,752,서울,용산구,남영동,2020,2
0,11170555,592,서울,용산구,청파동,2020,2
0,11170560,749,서울,용산구,원효로1동,2020,2
0,11170570,476,서울,용산구,원효로2동,2020,2
0,11170580,506,서울,용산구,효창동,2020,2
0,11170590,498,서울,용산구,용문동,2020,2
0,11170625,962,서울,용산구,한강로동,2020,2
0,11170630,527,서울,용산구,이촌1동,2020,2
0,11170640,421,서울,용산구,이촌2동,2020,2
0,11170650,1219,서울,용산구,이태원1동,2020,2
0,11170660,736,서울,용산구,이태원2동,2020,2
0,11170685,865,서울,용산구,한남동,2020,2
0,11170690,579,서울,용산구,서빙고동,2020,2
0,11170700,450,서울,용산구,보광동,2020,2
1,11170510,467,서울,용산구,후암동,2020,2
1,11170520,508,서울,용산구,용산2가동,2020,2
1,11170530,728,서울,용산구,남영동,2020,2
1,11170555,589,서울,용산구,청파동,2020,2
1,11170560,743,서울,용산구,원효로1동,2020,2
1,11170570,478,서울,용산구,원효로2동,2020,2
1,11170580,506,서울,용산구,효창동,2020,2
1,11170590,502,서울,용산구,용문동,2020,2
1,11170625,946,서울,용산구,한강로동,2020,2
1,11170630,524,서울,용산구,이촌1동,2020,2
1,11170640,419,서울,용산구,이촌2동,2020,2
1,11170650,1165,서울,용산구,이태원1동,2020,2
1,11170660,735,서울,용산구,이태원2동,2020,2
1,11170685,858,서울,용산구,한남동,2020,2
1,11170690,577,서울,용산구,서빙고동,2020,2
1,11170700,455,서울,용산구,보광동,2020,2
2,11170510,471,서울,용산구,후암동,2020,2
2,11170520,502,서울,용산구,용산2가동,2020,2
2,11170530,721,서울,용산구,남영동,2020,2
2,11170555,591,서울,용산구,청파동,2020,2
2,11170560,744,서울,용산구,원효로1동,2020,2
2,11170570,480,서울,용산구,원효로2동,2020,2
2,11170580,507,서울,용산구,효창동,2020,2
2,11170590,506,서울,용산구,용문동,2020,2
2,11170625,934,서울,용산구,한강로동,2020,2
2,11170630,522,서울,용산구,이촌1동,2020,2
2,11170640,423,서울,용산구,이촌2동,2020,2
2,11170650,1124,서울,용산구,이태원1동,2020,2
2,11170660,735,서울,용산구,이태원2동,2020,2
2,11170685,844,서울,용산구,한남동,2020,2
2,11170690,575,서울,용산구,서빙고동,2020,2
2,11170700,460,서울,용산구,보광동,2020,2
3,11170510,472,서울,용산구,후암동,2020,2
3,11170520,505,서울,용산구,용산2가동,2020,2
3,11170530,707,서울,용산구,남영동,2020,2
3,11170555,592,서울,용산구,청파동,2020,2
3,11170560,745,서울,용산구,원효로1동,2020,2
3,11170570,483,서울,용산구,원효로2동,2020,2
3,11170580,509,서울,용산구,효창동,2020,2
3,11170590,507,서울,용산구,용문동,2020,2
3,11170625,928,서울,용산구,한강로동,2020,2
3,11170630,523,서울,용산구,이촌1동,2020,2
3,11170640,422,서울,용산구,이촌2동,2020,2
3,11170650,1048,서울,용산구,이태원1동,2020,2
3,11170660,734,서울,용산구,이태원2동,2020,2
3,11170685,829,서울,용산구,한남동,2020,2
3,11170690,570,서울,용산구,서빙고동,2020,2
3,11170700,464,서울,용산구,보광동,2020,2
4,11170510,475,서울,용산구,후암동,2020,2
4,11170520,508,서울,용산구,용산2가동,2020,2
4,11170530,725,서울,용산구,남영동,2020,2
4,11170555,594,서울,용산구,청파동,2020,2
4,11170560,746,서울,용산구,원효로1동,2020,2
4,11170570,484,서울,용산구,원효로2동,2020,2
4,11170580,515,서울,용산구,효창동,2020,2
4,11170590,507,서울,용산구,용문동,2020,2
4,11170625,936,서울,용산구,한강로동,2020,2
4,11170630,522,서울,용산구,이촌1동,2020,2
4,11170640,422,서울,용산구,이촌2동,2020,2
4,11170650,970,서울,용산구,이태원1동,2020,2
4,11170660,732,서울,용산구,이태원2동,2020,2
4,11170685,812,서울,용산구,한남동,2020,2
4,11170690,572,서울,용산구,서빙고동,2020,2
4,11170700,470,서울,용산구,보광동,2020,2
5,11170510,470,서울,용산구,후암동,2020,2
5,11170520,511,서울,용산구,용산2가동,2020,2
5,11170530,750,서울,용산구,남영동,2020,2
5,11170555,598,서울,용산구,청파동,2020,2
5,11170560,761,서울,용산구,원효로1동,2020,2
5,11170570,479,서울,용산구,원효로2동,2020,2
5,11170580,518,서울,용산구,효창동,2020,2
5,11170590,504,서울,용산구,용문동,2020,2
5,11170625,961,서울,용산구,한강로동,2020,2
5,11170630,534,서울,용산구,이촌1동,2020,2
5,11170640,435,서울,용산구,이촌2동,2020,2
5,11170650,911,서울,용산구,이태원1동,2020,2
5,11170660,729,서울,용산구,이태원2동,2020,2
5,11170685,813,서울,용산구,한남동,2020,2
5,11170690,598,서울,용산구,서빙고동,2020,2
5,11170700,464,서울,용산구,보광동,2020,2
6,11170510,464,서울,용산구,후암동,2020,2
6,11170520,507,서울,용산구,용산2가동,2020,2
6,11170530,797,서울,용산구,남영동,2020,2
6,11170555,606,서울,용산구,청파동,2020,2
6,11170560,770,서울,용산구,원효로1동,2020,2
6,11170570,481,서울,용산구,원효로2동,2020,2
6,11170580,531,서울,용산구,효창동,2020,2
6,11170590,494,서울,용산구,용문동,2020,2
6,11170625,1032,서울,용산구,한강로동,2020,2
6,11170630,535,서울,용산구,이촌1동,2020,2
6,11170640,426,서울,용산구,이촌2동,2020,2
6,11170650,850,서울,용산구,이태원1동,2020,2
6,11170660,726,서울,용산구,이태원2동,2020,2
6,11170685,824,서울,용산구,한남동,2020,2
6,11170690,615,서울,용산구,서빙고동,2020,2
6,11170700,457,서울,용산구,보광동,2020,2
7,11170510,458,서울,용산구,후암동,2020,2
7,11170520,504,서울,용산구,용산2가동,2020,2
7,11170530,832,서울,용산구,남영동,2020,2
7,11170555,612,서울,용산구,청파동,2020,2
7,11170560,777,서울,용산구,원효로1동,2020,2
7,11170570,479,서울,용산구,원효로2동,2020,2
7,11170580,539,서울,용산구,효창동,2020,2
7,11170590,482,서울,용산구,용문동,2020,2
7,11170625,1091,서울,용산구,한강로동,2020,2
7,11170630,539,서울,용산구,이촌1동,2020,2
7,11170640,421,서울,용산구,이촌2동,2020,2
7,11170650,830,서울,용산구,이태원1동,2020,2
7,11170660,723,서울,용산구,이태원2동,2020,2
7,11170685,837,서울,용산구,한남동,2020,2
7,11170690,628,서울,용산구,서빙고동,2020,2
7,11170700,445,서울,용산구,보광동,2020,2
8,11170510,446,서울,용산구,후암동,2020,2
8,11170520,504,서울,용산구,용산2가동,2020,2
8,11170530,909,서울,용산구,남영동,2020,2
8,11170555,605,서울,용산구,청파동,2020,2
8,11170560,791,서울,용산구,원효로1동,2020,2
8,11170570,477,서울,용산구,원효로2동,2020,2
8,11170580,552,서울,용산구,효창동,2020,2
8,11170590,460,서울,용산구,용문동,2020,2
8,11170625,1189,서울,용산구,한강로동,2020,2
8,11170630,543,서울,용산구,이촌1동,2020,2
8,11170640,422,서울,용산구,이촌2동,2020,2
8,11170650,831,서울,용산구,이태원1동,2020,2
8,11170660,707,서울,용산구,이태원2동,2020,2
8,11170685,870,서울,용산구,한남동,2020,2
8,11170690,661,서울,용산구,서빙고동,2020,2
8,11170700,435,서울,용산구,보광동,2020,2
9,11170510,428,서울,용산구,후암동,2020,2
