,시간대구분,행정동코드,총생활인구수,시도명,시군구명,행정동명,년,월
540,0,11170510,465,서울,용산구,후암동,2020,3
575,0,11170520,501,서울,용산구,용산2가동,2020,3
599,0,11170530,700,서울,용산구,남영동,2020,3
612,0,11170555,594,서울,용산구,청파동,2020,3
652,0,11170560,742,서울,용산구,원효로1동,2020,3
678,0,11170570,475,서울,용산구,원효로2동,2020,3
709,0,11170580,520,서울,용산구,효창동,2020,3
728,0,11170590,507,서울,용산구,용문동,2020,3
751,0,11170625,941,서울,용산구,한강로동,2020,3
780,0,11170630,527,서울,용산구,이촌1동,2020,3
834,0,11170640,425,서울,용산구,이촌2동,2020,3
854,0,11170650,1024,서울,용산구,이태원1동,2020,3
865,0,11170660,743,서울,용산구,이태원2동,2020,3
883,0,11170685,807,서울,용산구,한남동,2020,3
921,0,11170690,581,서울,용산구,서빙고동,2020,3
947,0,11170700,453,서울,용산구,보광동,2020,3
19690,1,11170510,468,서울,용산구,후암동,2020,3
19725,1,11170520,497,서울,용산구,용산2가동,2020,3
19749,1,11170530,681,서울,용산구,남영동,2020,3
19762,1,11170555,594,서울,용산구,청파동,2020,3
19802,1,11170560,739,서울,용산구,원효로1동,2020,3
19828,1,11170570,473,서울,용산구,원효로2동,2020,3
19859,1,11170580,519,서울,용산구,효창동,2020,3
19878,1,11170590,514,서울,용산구,용문동,2020,3
19901,1,11170625,932,서울,용산구,한강로동,2020,3
19930,1,11170630,526,서울,용산구,이촌1동,2020,3
19984,1,11170640,425,서울,용산구,이촌2동,2020,3
20004,1,11170650,994,서울,용산구,이태원1동,2020,3
20015,1,11170660,741,서울,용산구,이태원2동,2020,3
20033,1,11170685,797,서울,용산구,한남동,2020,3
20071,1,11170690,583,서울,용산구,서빙고동,2020,3
20097,1,11170700,454,서울,용산구,보광동,2020,3
38840,2,11170510,468,서울,용산구,후암동,2020,3
38875,2,11170520,497,서울,용산구,용산2가동,2020,3
38899,2,11170530,673,서울,용산구,남영동,2020,3
38912,2,11170555,594,서울,용산구,청파동,2020,3
38952,2,11170560,736,서울,용산구,원효로1동,2020,3
38978,2,11170570,474,서울,용산구,원효로2동,2020,3
39009,2,11170580,522,서울,용산구,효창동,2020,3
39028,2,11170590,516,서울,용산구,용문동,2020,3
39051,2,11170625,924,서울,용산구,한강로동,2020,3
39080,2,11170630,525,서울,용산구,이촌1동,2020,3
39134,2,11170640,425,서울,용산구,이촌2동,2020,3
39154,2,11170650,960,서울,용산구,이태원1동,2020,3
39165,2,11170660,739,서울,용산구,이태원2동,2020,3
39183,2,11170685,789,서울,용산구,한남동,2020,3
39221,2,11170690,579,서울,용산구,서빙고동,2020,3
39247,2,11170700,457,서울,용산구,보광동,2020,3
57989,3,11170510,471,서울,용산구,후암동,2020,3
58024,3,11170520,495,서울,용산구,용산2가동,2020,3
58048,3,11170530,673,서울,용산구,남영동,2020,3
58061,3,11170555,595,서울,용산구,청파동,2020,3
58101,3,11170560,736,서울,용산구,원효로1동,2020,3
58127,3,11170570,476,서울,용산구,원효로2동,2020,3
58158,3,11170580,522,서울,용산구,효창동,2020,3
58177,3,11170590,515,서울,용산구,용문동,2020,3
58200,3,11170625,923,서울,용산구,한강로동,2020,3
58229,3,11170630,525,서울,용산구,이촌1동,2020,3
58283,3,11170640,426,서울,용산구,이촌2동,2020,3
58303,3,11170650,905,서울,용산구,이태원1동,2020,3
58314,3,11170660,745,서울,용산구,이태원2동,2020,3
58332,3,11170685,782,서울,용산구,한남동,2020,3
58370,3,11170690,579,서울,용산구,서빙고동,2020,3
58396,3,11170700,459,서울,용산구,보광동,2020,3
77139,4,11170510,471,서울,용산구,후암동,2020,3
77174,4,11170520,500,서울,용산구,용산2가동,2020,3
77198,4,11170530,688,서울,용산구,남영동,2020,3
77211,4,11170555,595,서울,용산구,청파동,2020,3
77251,4,11170560,737,서울,용산구,원효로1동,2020,3
77277,4,11170570,476,서울,용산구,원효로2동,2020,3
77308,4,11170580,524,서울,용산구,효창동,2020,3
77327,4,11170590,514,서울,용산구,용문동,2020,3
77350,4,11170625,929,서울,용산구,한강로동,2020,3
77379,4,11170630,523,서울,용산구,이촌1동,2020,3
77433,4,11170640,429,서울,용산구,이촌2동,2020,3
77453,4,11170650,864,서울,용산구,이태원1동,2020,3
77464,4,11170660,741,서울,용산구,이태원2동,2020,3
77482,4,11170685,771,서울,용산구,한남동,2020,3
77520,4,11170690,583,서울,용산구,서빙고동,2020,3
77546,4,11170700,461,서울,용산구,보광동,2020,3
96288,5,11170510,467,서울,용산구,후암동,2020,3
96323,5,11170520,498,서울,용산구,용산2가동,2020,3
96347,5,11170530,716,서울,용산구,남영동,2020,3
96360,5,11170555,593,서울,용산구,청파동,2020,3
96400,5,11170560,744,서울,용산구,원효로1동,2020,3
96426,5,11170570,475,서울,용산구,원효로2동,2020,3
96457,5,11170580,531,서울,용산구,효창동,2020,3
96476,5,11170590,508,서울,용산구,용문동,2020,3
96499,5,11170625,955,서울,용산구,한강로동,2020,3
96528,5,11170630,533,서울,용산구,이촌1동,2020,3
96582,5,11170640,440,서울,용산구,이촌2동,2020,3
96602,5,11170650,829,서울,용산구,이태원1동,2020,3
96613,5,11170660,739,서울,용산구,이태원2동,2020,3
96631,5,11170685,774,서울,용산구,한남동,2020,3
96669,5,11170690,598,서울,용산구,서빙고동,2020,3
96695,5,11170700,458,서울,용산구,보광동,2020,3
115433,6,11170510,462,서울,용산구,후암동,2020,3
115468,6,11170520,501,서울,용산구,용산2가동,2020,3
115492,6,11170530,762,서울,용산구,남영동,2020,3
115505,6,11170555,596,서울,용산구,청파동,2020,3
115545,6,11170560,757,서울,용산구,원효로1동,2020,3
115571,6,11170570,477,서울,용산구,원효로2동,2020,3
115602,6,11170580,545,서울,용산구,효창동,2020,3
115621,6,11170590,491,서울,용산구,용문동,2020,3
115644,6,11170625,1046,서울,용산구,한강로동,2020,3
115673,6,11170630,539,서울,용산구,이촌1동,2020,3
115727,6,11170640,446,서울,용산구,이촌2동,2020,3
115747,6,11170650,804,서울,용산구,이태원1동,2020,3
115758,6,11170660,738,서울,용산구,이태원2동,2020,3
115776,6,11170685,803,서울,용산구,한남동,2020,3
115814,6,11170690,617,서울,용산구,서빙고동,2020,3
115840,6,11170700,454,서울,용산구,보광동,2020,3
134582,7,11170510,455,서울,용산구,후암동,2020,3
134617,7,11170520,506,서울,용산구,용산2가동,2020,3
134641,7,11170530,909,서울,용산구,남영동,2020,3
134654,7,11170555,606,서울,용산구,청파동,2020,3
134694,7,11170560,780,서울,용산구,원효로1동,2020,3
134720,7,11170570,474,서울,용산구,원효로2동,2020,3
134751,7,11170580,558,서울,용산구,효창동,2020,3
134770,7,11170590,469,서울,용산구,용문동,2020,3
134793,7,11170625,1200,서울,용산구,한강로동,2020,3
134822,7,11170630,552,서울,용산구,이촌1동,2020,3
134876,7,11170640,458,서울,용산구,이촌2동,2020,3
134896,7,11170650,802,서울,용산구,이태원1동,2020,3
134907,7,11170660,727,서울,용산구,이태원2동,2020,3
134925,7,11170685,855,서울,용산구,한남동,2020,3
134963,7,11170690,651,서울,용산구,서빙고동,2020,3
134989,7,11170700,438,서울,용산구,보광동,2020,3
153732,8,11170510,445,서울,용산구,후암동,2020,3
153767,8,11170520,497,서울,용산구,용산2가동,2020,3
153791,8,11170530,1079,서울,용산구,남영동,2020,3
153804,8,11170555,604,서울,용산구,청파동,2020,3
153844,8,11170560,815,서울,용산구,원효로1동,2020,3
153870,8,11170570,473,서울,용산구,원효로2동,2020,3
153901,8,11170580,562,서울,용산구,효창동,2020,3
153920,8,11170590,438,서울,용산구,용문동,2020,3
153943,8,11170625,1435,서울,용산구,한강로동,2020,3
153972,8,11170630,536,서울,용산구,이촌1동,2020,3
154026,8,11170640,420,서울,용산구,이촌2동,2020,3
154046,8,11170650,818,서울,용산구,이태원1동,2020,3
154057,8,11170660,716,서울,용산구,이태원2동,2020,3
154075,8,11170685,887,서울,용산구,한남동,2020,3
154113,8,11170690,667,서울,용산구,서빙고동,2020,3
154139,8,11170700,420,서울,용산구,보광동,2020,3
172882,9,11170510,432,서울,용산구,후암동,2020,3
172917,9,11170520,486,서울,용산구,용산2가동,2020,3
172941,9,11170530,1180,서울,용산구,남영동,2020,3
172954,9,11170555,605,서울,용산구,청파동,2020,3
172994,9,11170560,848,서울,용산구,원효로1동,2020,3
173020,9,11170570,473,서울,용산구,원효로2동,2020,3
173051,9,11170580,570,서울,용산구,효창동,2020,3
173070,9,11170590,415,서울,용산구,용문동,2020,3
173093,9,11170625,1563,서울,용산구,한강로동,2020,3
173122,9,11170630,525,서울,용산구,이촌1동,2020,3
173176,9,11170640,406,서울,용산구,이촌2동,2020,3
173196,9,11170650,816,서울,용산구,이태원1동,2020,3
173207,9,11170660,707,서울,용산구,이태원2동,2020,3
173225,9,11170685,916,서울,용산구,한남동,2020,3
173263,9,11170690,670,서울,용산구,서빙고동,2020,3
173289,9,11170700,399,서울,용산구,보광동,2020,3
192032,10,11170510,422,서울,용산구,후암동,2020,3
192067,10,11170520,485,서울,용산구,용산2가동,2020,3
192091,10,11170530,1199,서울,용산구,남영동,2020,3
192104,10,11170555,601,서울,용산구,청파동,2020,3
192144,10,11170560,841,서울,용산구,원효로1동,2020,3
192170,10,11170570,481,서울,용산구,원효로2동,2020,3
192201,10,11170580,572,서울,용산구,효창동,2020,3
192220,10,11170590,396,서울,용산구,용문동,2020,3
192243,10,11170625,1633,서울,용산구,한강로동,2020,3
192272,10,11170630,510,서울,용산구,이촌1동,2020,3
192326,10,11170640,387,서울,용산구,이촌2동,2020,3
192346,10,11170650,845,서울,용산구,이태원1동,2020,3
192357,10,11170660,693,서울,용산구,이태원2동,2020,3
192375,10,11170685,937,서울,용산구,한남동,2020,3
192413,10,11170690,674,서울,용산구,서빙고동,2020,3
