기준_분기_코드,상권_코드_명,행정동명,분기당_매출_금액,전년도 분기 대비 매출증감액,전년도 분기 대비 매출증감율,생활인구(평균),점포수,생활인구(총합),사회적거리두기_2단계,지원금,2019년 1분기,2019년 2분기,2019년 3분기,2019년 4분기,2020년 1분기,2020년 2분기,2020년 3분기,2020년 4분기,확진자수
2019년 1분기,녹사평대로26길,이태원1동,187140119,-4061331,-2.1,39058,99,78116,0,0,1,0,0,0,0,0,0,0,0
2019년 1분기,녹사평대로32길,이태원1동,447236944,56855806,14.6,65437,94,130874,0,0,1,0,0,0,0,0,0,0,0
2019년 1분기,녹사평대로40나길,이태원2동,309916132,9908876,3.3,51967,155,103934,0,0,1,0,0,0,0,0,0,0,0
2019년 1분기,녹사평대로46길,이태원2동,186163183,-109247490,-37.0,43669,146,87338,0,0,1,0,0,0,0,0,0,0,0
2019년 1분기,서울 용산구 이태원역,이태원1동,1354081547,39543919,3.0,96608,95,193216,0,0,1,0,0,0,0,0,0,0,0
2019년 1분기,용산구청,이태원1동,161287679,-6959101,-4.1,5923,88,11846,0,0,1,0,0,0,0,0,0,0,0
2019년 1분기,이태원 관광특구,이태원1동,2171381459,-12996779,-0.6,341125,97,682250,0,0,1,0,0,0,0,0,0,0,0
2019년 1분기,이태원로27길,이태원1동,770698146,-4759357,-0.6,67891,82,135782,0,0,1,0,0,0,0,0,0,0,0
2019년 1분기,이태원시장,이태원1동,545087388,140231889,34.6,6044,645,12088,0,0,1,0,0,0,0,0,0,0,0
2019년 1분기,이태원제일시장,이태원2동,128105512,14473693,12.7,7472,629,14944,0,0,1,0,0,0,0,0,0,0,0
2019년 1분기,회나무로13길,이태원2동,195674849,-50354089,-20.5,62800,35,125600,0,0,1,0,0,0,0,0,0,0,0
2019년 2분기,녹사평대로26길,이태원1동,211143597,-37955946,-15.2,38955,40,77910,0,0,0,1,0,0,0,0,0,0,0
2019년 2분기,녹사평대로32길,이태원1동,429520181,-18553613,-4.1,67098,1597,134196,0,0,0,1,0,0,0,0,0,0,0
2019년 2분기,녹사평대로40나길,이태원2동,348877812,-19093831,-5.2,53287,1581,106574,0,0,0,1,0,0,0,0,0,0,0
2019년 2분기,녹사평대로46길,이태원2동,196696489,-148293855,-43.0,44641,176,89282,0,0,0,1,0,0,0,0,0,0,0
2019년 2분기,서울 용산구 이태원역,이태원1동,1300736143,-174546338,-11.8,99263,165,198526,0,0,0,1,0,0,0,0,0,0,0
2019년 2분기,용산구청,이태원1동,193610519,4478379,2.4,5784,158,11568,0,0,0,1,0,0,0,0,0,0,0
2019년 2분기,이태원 관광특구,이태원1동,2219199351,-249132827,-10.1,343139,151,686278,0,0,0,1,0,0,0,0,0,0,0
2019년 2분기,이태원로27길,이태원1동,760828890,-140885980,-15.6,71506,9,143012,0,0,0,1,0,0,0,0,0,0,0
2019년 2분기,이태원시장,이태원1동,497139163,47182202,10.5,5864,5,11728,0,0,0,1,0,0,0,0,0,0,0
2019년 2분기,이태원제일시장,이태원2동,184193987,50514379,37.8,7516,156,15032,0,0,0,1,0,0,0,0,0,0,0
2019년 2분기,회나무로13길,이태원2동,190736521,-93548569,-32.9,58556,157,117112,0,0,0,1,0,0,0,0,0,0,0
2019년 3분기,녹사평대로26길,이태원1동,227536396,-6065865,-2.6,42371,98,84742,0,0,0,0,1,0,0,0,0,0,0
2019년 3분기,녹사평대로32길,이태원1동,409896143,-53210505,-11.5,66397,98,132794,0,0,0,0,1,0,0,0,0,0,0
2019년 3분기,녹사평대로40나길,이태원2동,359395858,12720008,3.7,51692,155,103384,0,0,0,0,1,0,0,0,0,0,0
2019년 3분기,녹사평대로46길,이태원2동,165674547,-130663767,-44.1,40923,148,81846,0,0,0,0,1,0,0,0,0,0,0
2019년 3분기,서울 용산구 이태원역,이태원1동,1343866456,-124740332,-8.5,92036,86,184072,0,0,0,0,1,0,0,0,0,0,0
2019년 3분기,용산구청,이태원1동,201269386,25078866,14.2,6478,90,12956,0,0,0,0,1,0,0,0,0,0,0
2019년 3분기,이태원 관광특구,이태원1동,2277047065,-62044458,-2.7,333747,92,667494,0,0,0,0,1,0,0,0,0,0,0
2019년 3분기,이태원로27길,이태원1동,964387842,121468027,14.4,68016,76,136032,0,0,0,0,1,0,0,0,0,0,0
2019년 3분기,이태원시장,이태원1동,512867576,-60334242,-10.5,6561,639,13122,0,0,0,0,1,0,0,0,0,0,0
2019년 3분기,이태원제일시장,이태원2동,229102432,91105843,66.0,7089,615,14178,0,0,0,0,1,0,0,0,0,0,0
2019년 3분기,회나무로13길,이태원2동,194718156,-65628256,-25.2,55373,36,110746,0,0,0,0,1,0,0,0,0,0,0
2019년 4분기,녹사평대로26길,이태원1동,501108268,282049878,128.8,37705,38,75410,0,0,0,0,0,1,0,0,0,0,0
2019년 4분기,녹사평대로32길,이태원1동,547003902,-41054981,-7.0,65299,1598,130598,0,0,0,0,0,1,0,0,0,0,0
2019년 4분기,녹사평대로40나길,이태원2동,277127376,-79016047,-22.2,56408,1580,112816,0,0,0,0,0,1,0,0,0,0,0
2019년 4분기,녹사평대로46길,이태원2동,166842055,-134335037,-44.6,41911,173,83822,0,0,0,0,0,1,0,0,0,0,0
2019년 4분기,서울 용산구 이태원역,이태원1동,1344971155,-457771120,-25.4,94939,158,189878,0,0,0,0,0,1,0,0,0,0,0
2019년 4분기,용산구청,이태원1동,240456048,-54652602,-18.5,5569,152,11138,0,0,0,0,0,1,0,0,0,0,0
2019년 4분기,이태원 관광특구,이태원1동,2607722962,-224759135,-7.9,341757,150,683514,0,0,0,0,0,1,0,0,0,0,0
2019년 4분기,이태원로27길,이태원1동,1678233016,586248378,53.7,71133,8,142266,0,0,0,0,0,1,0,0,0,0,0
2019년 4분기,이태원시장,이태원1동,648151185,231209786,55.5,5893,5,11786,0,0,0,0,0,1,0,0,0,0,0
2019년 4분기,이태원제일시장,이태원2동,255352327,112123838,78.3,7731,159,15462,0,0,0,0,0,1,0,0,0,0,0
2019년 4분기,회나무로13길,이태원2동,221476477,-57895866,-20.7,58632,152,117264,0,0,0,0,0,1,0,0,0,0,0
2020년 1분기,녹사평대로26길,이태원1동,805903795,618763676,330.6,31669,106,63338,0,0,0,0,0,0,1,0,0,0,12
2020년 1분기,녹사평대로32길,이태원1동,371996052,-75240892,-16.8,50346,99,100692,0,0,0,0,0,0,1,0,0,0,12
2020년 1분기,녹사평대로40나길,이태원2동,204606439,-105309693,-34.0,54661,152,109322,0,0,0,0,0,0,1,0,0,0,12
2020년 1분기,녹사평대로46길,이태원2동,130030659,-56132524,-30.2,45393,152,90786,0,0,0,0,0,0,1,0,0,0,12
2020년 1분기,서울 용산구 이태원역,이태원1동,902575204,-451506343,-33.3,81947,81,163894,0,0,0,0,0,0,1,0,0,0,12
2020년 1분기,용산구청,이태원1동,141027198,-20260481,-12.6,4558,88,9116,0,0,0,0,0,0,1,0,0,0,12
2020년 1분기,이태원 관광특구,이태원1동,2033699285,-137682174,-6.3,304355,88,608710,0,0,0,0,0,0,1,0,0,0,12
2020년 1분기,이태원로27길,이태원1동,1088433099,317734953,41.2,56498,78,112996,0,0,0,0,0,0,1,0,0,0,12
2020년 1분기,이태원시장,이태원1동,460505630,-84581758,-15.5,4873,626,9746,0,0,0,0,0,0,1,0,0,0,12
2020년 1분기,이태원제일시장,이태원2동,113769197,-14336315,-11.2,8599,609,17198,0,0,0,0,0,0,1,0,0,0,12
2020년 1분기,회나무로13길,이태원2동,200949981,5275132,2.7,60891,39,121782,0,0,0,0,0,0,1,0,0,0,12
2020년 2분기,녹사평대로26길,이태원1동,542093591,330949994,156.7,29743,37,59486,1,1,0,0,0,0,0,1,0,0,38
2020년 2분기,녹사평대로32길,이태원1동,279050211,-150469970,-35.0,40263,1577,80526,1,1,0,0,0,0,0,1,0,0,38
2020년 2분기,녹사평대로40나길,이태원2동,162056620,-186821192,-53.5,53467,1564,106934,1,1,0,0,0,0,0,1,0,0,38
2020년 2분기,녹사평대로46길,이태원2동,149423507,-47272982,-24.0,46908,170,93816,1,1,0,0,0,0,0,1,0,0,38
2020년 2분기,서울 용산구 이태원역,이태원1동,595944469,-704791674,-54.2,66731,159,133462,1,1,0,0,0,0,0,1,0,0,38
2020년 2분기,용산구청,이태원1동,158173619,-35436900,-18.3,4270,145,8540,1,1,0,0,0,0,0,1,0,0,38
2020년 2분기,이태원 관광특구,이태원1동,1614103761,-605095590,-27.3,252478,150,504956,1,1,0,0,0,0,0,1,0,0,38
